Просмотры,Время просмотра (часы),Поделились,Постоянные зрители,Новые комментарии,Отказались от подписки,Новые подписчики,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,CTR для значков видео (%),Показы,Подписчики,Средний процент просмотра (%),Процент лайков,Средняя продолжительность просмотра,Дизлайки,Лайки
216.0,9.3842,2.0,37.0,0.0,3.0,2.0,63.0,2.16,100.0,4.37,2908.0,-1.0,28.82,100.0,156.40333333333334,0.0,9.0
269.0,12.8509,0.0,41.0,0.0,1.0,3.0,82.0,2.187,123.0,4.81,3555.0,2.0,33.83,100.0,171.98230483271374,0.0,5.0
246.0,9.9646,1.0,42.0,0.0,2.0,3.0,61.0,2.3883,103.0,4.22,2723.0,1.0,29.01,83.33,145.82341463414636,1.0,5.0
236.0,9.0528,0.0,47.0,0.0,2.0,1.0,88.0,1.7481,135.0,4.9,2673.0,-1.0,26.33,100.0,138.09355932203388,0.0,1.0
231.0,8.3439,0.0,42.0,0.0,3.0,5.0,78.0,1.925,120.0,2.49,5021.0,2.0,24.61,100.0,130.0348051948052,0.0,6.0
248.0,8.4701,0.0,32.0,0.0,3.0,4.0,77.0,2.2752,109.0,3.96,4119.0,1.0,24.02,100.0,122.95306451612903,0.0,4.0
126.0,4.6989,1.0,26.0,0.0,2.0,2.0,59.0,1.4824,85.0,2.75,2222.0,0.0,22.99,0.0,134.25428571428571,1.0,0.0
129.0,5.8828,0.0,24.0,0.0,2.0,1.0,46.0,1.8429,70.0,3.76,1701.0,-1.0,29.23,100.0,164.17116279069765,0.0,8.0
192.0,7.4416,0.0,38.0,0.0,4.0,3.0,60.0,1.9592,98.0,5.01,2196.0,-1.0,25.5,87.5,139.53,1.0,7.0
283.0,12.715,4.0,45.0,0.0,1.0,1.0,91.0,2.0809,136.0,3.23,4054.0,0.0,30.11,100.0,161.74558303886926,0.0,7.0
217.0,6.6221,1.0,31.0,1.0,1.0,2.0,85.0,1.8707,116.0,5.6,2357.0,1.0,20.34,83.33,109.85972350230413,1.0,5.0
226.0,10.9585,0.0,42.0,0.0,3.0,2.0,82.0,1.8226,124.0,3.7,2755.0,-1.0,33.89,100.0,174.56017699115046,0.0,2.0
325.0,10.304,1.0,43.0,0.0,5.0,6.0,157.0,1.625,200.0,4.49,2540.0,1.0,23.12,100.0,114.13661538461538,0.0,3.0
244.0,9.4914,20.0,36.0,0.0,1.0,1.0,74.0,2.2182,110.0,3.29,3163.0,0.0,28.44,100.0,140.03704918032787,0.0,1.0
200.0,8.9228,1.0,36.0,0.0,1.0,2.0,73.0,1.8349,109.0,4.7,1938.0,1.0,29.6,0.0,160.6104,0.0,0.0
252.0,9.8883,24.0,37.0,0.0,5.0,3.0,74.0,2.2703,111.0,4.87,2425.0,-2.0,27.3,100.0,141.26142857142855,0.0,1.0
219.0,8.9028,1.0,40.0,0.0,2.0,4.0,85.0,1.752,125.0,4.84,2295.0,2.0,29.76,100.0,146.34739726027397,0.0,4.0
240.0,9.8689,1.0,28.0,0.0,4.0,2.0,90.0,2.0339,118.0,2.4,5037.0,-2.0,29.82,93.75,148.0335,1.0,15.0
254.0,8.2052,0.0,30.0,0.0,0.0,1.0,93.0,2.065,123.0,3.45,4055.0,1.0,23.64,100.0,116.29417322834645,0.0,6.0
251.0,10.5702,1.0,49.0,1.0,2.0,1.0,72.0,2.0744,121.0,2.67,3370.0,-1.0,30.02,100.0,151.60446215139442,0.0,4.0
164.0,6.8697,0.0,36.0,0.0,1.0,5.0,60.0,1.7083,96.0,4.18,1986.0,4.0,28.12,100.0,150.7982926829268,0.0,-4.0
165.0,6.9756,1.0,43.0,0.0,1.0,5.0,61.0,1.5865,104.0,3.21,2647.0,4.0,27.32,100.0,152.19490909090908,0.0,8.0
251.0,9.7421,3.0,39.0,0.0,0.0,4.0,79.0,2.1271,118.0,4.45,2606.0,4.0,29.56,100.0,139.72733067729087,0.0,5.0
213.0,8.1418,3.0,39.0,0.0,4.0,4.0,87.0,1.6905,126.0,3.73,2892.0,0.0,23.78,83.33,137.60788732394366,1.0,5.0
